Item.[Item],Item.[Item$DisplayName],Item.[Is New Item],Item.[Item Disc Date],Item.[Item Intro Date],Item.[Item Status],Item.[Reporting Item],Item.[Reporting Item$DisplayName],Item.[Segmentation LOB],Item.[Segmentation LOB$DisplayName],Item.[PackageType],Item.[Pack Size],Item.[FN Item],Item.[L1],Item.[L1$DisplayName],Item.[L2],Item.[L2$DisplayName],Item.[L3],Item.[L3$DisplayName],Item.[L4],Item.[L4$DisplayName],Item.[L5],Item.[L5$DisplayName],Item.[L6],Item.[L6$DisplayName],Item.[Planning Item],Item.[Planning Item Locale],Item.[Planning Item Disc Date],Item.[Planning Item Intro Date],Item.[Planning Item$DisplayName],Item.[Transition Item],Item.[Transition Item$DisplayName],Item.[Segmentation Category],Item.[A1],Item.[A1$DisplayName],Item.[A2],Item.[A3],Item.[A3$DisplayName],Item.[A4],Item.[A4$DisplayName],Item.[A5],Item.[PLC Status],Item.[RGM7],Item.[RGM6],Item.[RGM5],Item.[RGM4],Item.[RGM3],Item.[RGM2],Item.[RGM1],Item.[Item Type],Item.[Unit Size],Item.[All Item],Item.[PPG],Item.[Stat Item],Item.[Stat Item$DisplayName],Item.[Stat Item Group],Item.[Stat Item Group$DisplayName],Item.[ContainerType],Item.[Item Class],Item.[Item Stage],Item.[EAN ID],Item.[Transition Group]
A070_20_01,Falstaff Tropical Lime_Bottle_330,,8/14/2029 0:00,1/1/2016 0:00,,A070_20_01,Falstaff Tropical Lime_Bottle_330,D10,Alcohol,Bottle 330 ML,330 ML,,A070,Falstaff Tropical Lime,B200,Falstaff,C10,Beer,D10,Alcohol,E10,Beverages,F10,FnB,A070_20,en-US,8/14/2029 0:00,1/1/2016 0:00,Falstaff Tropical Lime_Bottle,A070_20,Falstaff Tropical Lime_Bottle,B,0.66,66%,N/A,0,0%,130,130 cal,330 ML,Existing,,,,,,,,FinishedGoods,,All Items,,A070,Falstaff Tropical Lime,D10,Alcohol,BOTTLE,AY,Dummy,,All Items
A080_20_02,Falstaff Tropical Rasberry_Bottle_500,,5/13/2029 0:00,6/15/2023 0:00,,A080_20_02,Falstaff Tropical Rasberry_Bottle_500,D10,Alcohol,Bottle 500 ML,500 ML,,A080,Falstaff Tropical Rasberry,B200,Falstaff,C10,Beer,D10,Alcohol,E10,Beverages,F10,FnB,A080_20,en-US,5/13/2029 0:00,6/15/2023 0:00,Falstaff Tropical Rasberry_Bottle,A080_20,Falstaff Tropical Rasberry_Bottle,B,0.78,78%,N/A,0,0%,200,200 cal,500 ML,Existing,,,,,,,,FinishedGoods,,All Items,,A080,Falstaff Tropical Rasberry,D10,Alcohol,BOTTLE,AY,Dummy,,All Items
A090_30_11,Fresh Mini Croissants_Box_12 ct,,2/20/2029 0:00,1/15/2015 0:00,,A090_30_11,Fresh Mini Croissants_Box_12 ct,D20,Fresh,Box 12 CT,12 CT,,A090,Fresh Mini Croissants,B300,Fresh,C20,Bread,D20,Fresh,E20,Food,F10,FnB,A090_30,en-US,2/20/2029 0:00,1/15/2015 0:00,Fresh Mini Croissants Box,A090_30,Fresh Mini Croissants Box,C,0,0%,N/A,0,0%,0,0 cal,N/A,Existing,,,,,,,,FinishedGoods,,All Items,,A090,Fresh Mini Croissants,D20,Fresh,BOX,BY,Dummy,,All Items
A100_30_11,Marketstreet Donuts Chocolate Box_12 ct,,4/2/2029 0:00,3/12/2014 0:00,,A100_30_11,Marketstreet Donuts Chocolate Box_12 ct,D20,Fresh,Box 12 CT,12 CT,,A100,Marketstreet Donuts,B400,Marketstreet,C30,Pastry,D20,Fresh,E20,Food,F10,FnB,A100_30,en-US,4/2/2029 0:00,3/12/2014 0:00,Marketstreet Donuts Chocolate Box,A100_30,Marketstreet Donuts Chocolate Box,C,0,0%,N/A,0,0%,0,0 cal,N/A,Existing,,,,,,,,FinishedGoods,,All Items,,A100,Marketstreet Donuts,D20,Fresh,BOX,BY,Dummy,,All Items
A110_40_21,Lazy Potato Chips Original Bag_6.5 oz,,12/14/2029 0:00,7/1/2019 0:00,,A110_40_21,Lazy Potato Chips Original Bag_6.5 oz,D30,Snacks,Bag 6.5 OZ,6.5 OZ,,A110,Lazy Potato Chips,B500,Lazy,C40,Chips,D30,Snacks,E20,Food,F10,FnB,A110_40,en-US,12/14/2029 0:00,7/1/2019 0:00,Lazy Potato Chips Original Bag,A110_40,Lazy Potato Chips Original Bag,C,0,0%,N/A,0,0%,0,0 cal,6.5 oz,Existing,,,,,,,,FinishedGoods,,All Items,,A110,Lazy Potato Chips,D30,Snacks,BAG,BY,Dummy,,All Items
A120_10_01,VarietyPack_Can_V1_330,,10/5/2029 0:00,7/1/2019 0:00,,A120_10_01,VarietyPack_Can_V1_330,D10,Alcohol,Variety Can 330 ML,330 ML,,A120,Variety Pack,B600,Variety Pack,C10,Beer,D10,Alcohol,E10,Beverages,F10,FnB,A120_10,en-US,10/5/2029 0:00,7/1/2019 0:00,VarietyPack_Can_V1,A120_10,VarietyPack_Can_V1,C,0.99,99%,N/A,0,0%,250,250 cal,330 ML,Existing,,,,,,,,FinishedGoods,,All Items,,A120,Variety Pack,D10,Alcohol,VARIETY PACK CAN,BY,Dummy,,All Items
A120_11_01,VarietyPack_Can_V2_330,,12/7/2029 0:00,7/1/2019 0:00,,A120_11_01,VarietyPack_Can_V2_330,D10,Alcohol,Variety Can 330 ML,330 ML,,A120,Variety Pack,B600,Variety Pack,C10,Beer,D10,Alcohol,E10,Beverages,F10,FnB,A120_11,en-US,12/7/2029 0:00,7/1/2019 0:00,VarietyPack_Can_V2,A120_11,VarietyPack_Can_V2,C,0.87,87%,N/A,0,0%,250,250 cal,330 ML,Existing,,,,,,,,FinishedGoods,,All Items,,A120,Variety Pack,D10,Alcohol,VARIETY PACK CAN,BY,Dummy,,All Items
A120_20_01,VarietyPack_Bottle_V1_330,,6/24/2029 0:00,7/1/2019 0:00,,A120_20_01,VarietyPack_Bottle_V1_330,D10,Alcohol,Variety Bottle 330 ML,330 ML,,A120,Variety Pack,B600,Variety Pack,C10,Beer,D10,Alcohol,E10,Beverages,F10,FnB,A120_20,en-US,6/24/2029 0:00,7/1/2019 0:00,VarietyPack_Bottle_V1,A120_20,VarietyPack_Bottle_V1,C,0.65,65%,N/A,0,0%,300,300 cal,330 ML,Existing,,,,,,,,FinishedGoods,,All Items,,A120,Variety Pack,D10,Alcohol,VARIETY PACK BOTTLE,AY,Dummy,,All Items
A120_21_01,VarietyPack_Bottle_V2_330,,10/24/2029 0:00,7/1/2019 0:00,,A120_21_01,VarietyPack_Bottle_V2_330,D10,Alcohol,Variety Bottle 330 ML,330 ML,,A120,Variety Pack,B600,Variety Pack,C10,Beer,D10,Alcohol,E10,Beverages,F10,FnB,A120_21,en-US,10/24/2029 0:00,7/1/2019 0:00,VarietyPack_Bottle_V2,A120_21,VarietyPack_Bottle_V2,C,0.82,82%,N/A,0,0%,300,300 cal,330 ML,Existing,,,,,,,,FinishedGoods,,All Items,,A120,Variety Pack,D10,Alcohol,VARIETY PACK BOTTLE,AY,Dummy,,All Items
A130_10_01,CocoaDelight Milk Almond_Case_6.5 oz,,10/24/2029 0:00,7/1/2019 0:00,,A130_10_01,CocoaDelight Milk Almond_Case_6.5 oz,D30,Snacks,Case 6.5 oz,6.5 oz,,A130,CocoaDelight Milk Chocolate,B700,CocoaDelight,C50,Chocolate,D30,Snacks,E20,Food,F10,FnB,A130_10,en-US,10/24/2029 0:00,7/1/2019 0:00,CocoaDelight Milk Almond_Case,A130_10,CocoaDelight Milk Almond_Case,Default,0,0%,Almond,0.35,35%,910,910 cal,6.5 oz,Existing,,,,,,,,FinishedGoods,,All Items,,A130,CocoaDelight Milk Chocolate,D30,Snacks,Case,AY,Dummy,,All Items
A130_11_01,CocoaDelight Milk Caramel_Case_6.5 oz,,10/24/2029 0:00,7/1/2019 0:00,,A130_11_01,CocoaDelight Milk Caramel_Case_6.5 oz,D30,Snacks,Case 6.5 oz,6.5 oz,,A130,CocoaDelight Milk Chocolate,B700,CocoaDelight,C50,Chocolate,D30,Snacks,E20,Food,F10,FnB,A130_11,en-US,10/24/2029 0:00,7/1/2019 0:00,CocoaDelight Milk Caramel_Case,A130_11,CocoaDelight Milk Caramel_Case,Default,0,0%,Caramel,0.35,35%,975,975 cal,6.5 oz,Existing,,,,,,,,FinishedGoods,,All Items,,A130,CocoaDelight Milk Chocolate,D30,Snacks,Case,AY,Dummy,,All Items
A130_12_01,CocoaDelight Milk SeaSalt_Case_6.5 oz,,10/24/2029 0:00,7/1/2019 0:00,,A130_12_01,CocoaDelight Milk SeaSalt_Case_6.5 oz,D30,Snacks,Case 6.5 oz,6.5 oz,,A130,CocoaDelight Milk Chocolate,B700,CocoaDelight,C50,Chocolate,D30,Snacks,E20,Food,F10,FnB,A130_12,en-US,10/24/2029 0:00,7/1/2019 0:00,CocoaDelight Milk SeaSalt_Case,A130_12,CocoaDelight Milk SeaSalt_Case,Default,0,0%,SeaSalt,0.35,35%,942,942 cal,6.5 oz,Existing,,,,,,,,FinishedGoods,,All Items,,A130,CocoaDelight Milk Chocolate,D30,Snacks,Case,AY,Dummy,,All Items
A131_10_01,CocoaDelight Dark Almond_Case_6.5 oz,,10/24/2029 0:00,7/1/2019 0:00,,A131_10_01,CocoaDelight Dark Almond_Case_6.5 oz,D30,Snacks,Case 6.5 oz,6.5 oz,,A131,CocoaDelight Dark Chocolate,B700,CocoaDelight,C50,Chocolate,D30,Snacks,E20,Food,F10,FnB,A131_10,en-US,10/24/2029 0:00,7/1/2019 0:00,CocoaDelight Dark Almond_Case,A131_10,CocoaDelight Dark Almond_Case,Default,0,0%,Almond,0.7,0.7,845,845 cal,6.5 oz,Existing,,,,,,,,FinishedGoods,,All Items,,A131,CocoaDelight Dark Chocolate,D30,Snacks,Case,AY,Dummy,,All Items
A131_11_01,CocoaDelight Dark Caramel_Case_6.5 oz,,10/24/2029 0:00,7/1/2019 0:00,,A131_11_01,CocoaDelight Dark Caramel_Case_6.5 oz,D30,Snacks,Case 6.5 oz,6.5 oz,,A131,CocoaDelight Dark Chocolate,B700,CocoaDelight,C50,Chocolate,D30,Snacks,E20,Food,F10,FnB,A131_11,en-US,10/24/2029 0:00,7/1/2019 0:00,CocoaDelight Dark Caramel_Case,A131_11,CocoaDelight Dark Caramel_Case,Default,0,0%,Caramel,0.7,0.7,877,877 cal,6.5 oz,Existing,,,,,,,,FinishedGoods,,All Items,,A131,CocoaDelight Dark Chocolate,D30,Snacks,Case,AY,Dummy,,All Items
A131_12_01,CocoaDelight Dark SeaSalt_Case_6.5 oz,,10/24/2029 0:00,7/1/2019 0:00,,A131_12_01,CocoaDelight Dark SeaSalt_Case_6.5 oz,D30,Snacks,Case 6.5 oz,6.5 oz,,A131,CocoaDelight Dark Chocolate,B700,CocoaDelight,C50,Chocolate,D30,Snacks,E20,Food,F10,FnB,A131_12,en-US,10/24/2029 0:00,7/1/2019 0:00,CocoaDelight Dark SeaSalt_Case,A131_12,CocoaDelight Dark SeaSalt_Case,Default,0,0%,SeaSalt,0.7,0.7,850,850 cal,6.5 oz,Existing,,,,,,,,FinishedGoods,,All Items,,A131,CocoaDelight Dark Chocolate,D30,Snacks,Case,AY,Dummy,,All Items
A132_10_01,CocoaDelight White Almond_Case_6.5 oz,,10/24/2029 0:00,7/1/2019 0:00,,A132_10_01,CocoaDelight White Almond_Case_6.5 oz,D30,Snacks,Case 6.5 oz,6.5 oz,,A132,CocoaDelight White Chocolate,B700,CocoaDelight,C50,Chocolate,D30,Snacks,E20,Food,F10,FnB,A132_10,en-US,10/24/2029 0:00,7/1/2019 0:00,CocoaDelight White Almond_Case,A132_10,CocoaDelight White Almond_Case,Default,0,0%,Almond,0.2,20%,1040,1040 cal,6.5 oz,Existing,,,,,,,,FinishedGoods,,All Items,,A132,CocoaDelight White Chocolate,D30,Snacks,Case,AY,Dummy,,All Items
A132_11_01,CocoaDelight White Caramel_Case_6.5 oz,,10/24/2029 0:00,7/1/2019 0:00,,A132_11_01,CocoaDelight White Caramel_Case_6.5 oz,D30,Snacks,Case 6.5 oz,6.5 oz,,A132,CocoaDelight White Chocolate,B700,CocoaDelight,C50,Chocolate,D30,Snacks,E20,Food,F10,FnB,A132_11,en-US,10/24/2029 0:00,7/1/2019 0:00,CocoaDelight White Caramel_Case,A132_11,CocoaDelight White Caramel_Case,Default,0,0%,Caramel,0.2,20%,1105,1105 cal,6.5 oz,Existing,,,,,,,,FinishedGoods,,All Items,,A132,CocoaDelight White Chocolate,D30,Snacks,Case,AY,Dummy,,All Items
A132_12_01,CocoaDelight White SeaSalt_Case_6.5 oz,,10/24/2029 0:00,7/1/2019 0:00,,A132_12_01,CocoaDelight White SeaSalt_Case_6.5 oz,D30,Snacks,Case 6.5 oz,6.5 oz,,A132,CocoaDelight White Chocolate,B700,CocoaDelight,C50,Chocolate,D30,Snacks,E20,Food,F10,FnB,A132_12,en-US,10/24/2029 0:00,7/1/2019 0:00,CocoaDelight White SeaSalt_Case,A132_12,CocoaDelight White SeaSalt_Case,Default,0,0%,SeaSalt,0.2,20%,1075,1075 cal,6.5 oz,Existing,,,,,,,,FinishedGoods,,All Items,,A132,CocoaDelight White Chocolate,D30,Snacks,Case,AY,Dummy,,All Items
A140_10_01,ChocoDream 70% Cocoa Almond_Bar_3.5oz,TRUE,10/24/2029 0:00,7/1/2019 0:00,,A140_10_01,ChocoDream 70% Cocoa Almond_Bar_3.5oz,D30,Snacks,Bar 3.5 oz,3.5 oz,,A140,ChocoDream 70% Cocoa,B800,ChocoDream,C50,Chocolate,D30,Snacks,E20,Food,F10,FnB,A140_10,en-US,10/24/2029 0:00,7/1/2019 0:00,ChocoDream 70% Cocoa Almond_Bar,A140_10,ChocoDream 70% Cocoa Almond_Bar,Default,0,0%,Almond,0.7,0.7,422,422 cal,3.5 oz,Existing,,,,,,,,FinishedGoods,,All Items,,A140,ChocoDream 70% Cocoa,D30,Snacks,Bar,AY,Dummy,,All Items
A140_11_01,ChocoDream 70% Cocoa Caramel_Bar_3.5oz,,10/24/2029 0:00,7/1/2019 0:00,,A140_11_01,ChocoDream 70% Cocoa Caramel_Bar_3.5oz,D30,Snacks,Bar 3.5 oz,3.5 oz,,A140,ChocoDream 70% Cocoa,B800,ChocoDream,C50,Chocolate,D30,Snacks,E20,Food,F10,FnB,A140_11,en-US,10/24/2029 0:00,7/1/2019 0:00,ChocoDream 70% Cocoa Caramel_Bar,A140_11,ChocoDream 70% Cocoa Caramel_Bar,Default,0,0%,Caramel,0.7,0.7,438,438 cal,3.5 oz,Existing,,,,,,,,FinishedGoods,,All Items,,A140,ChocoDream 70% Cocoa,D30,Snacks,Bar,AY,Dummy,,All Items
A140_12_01,ChocoDream 70% Cocoa SeaSalt_Bar_3.5oz,TRUE,10/28/2029 0:00,5/1/2023 0:00,,A140_12_01,ChocoDream 70% Cocoa SeaSalt_Bar_3.5oz,D30,Snacks,Bar 3.5 oz,3.5 oz,,A140,ChocoDream 70% Cocoa,B800,ChocoDream,C50,Chocolate,D30,Snacks,E20,Food,F10,FnB,A140_12,en-US,10/28/2029 0:00,5/1/2023 0:00,ChocoDream 70% Cocoa SeaSalt_Bar,A140_12,ChocoDream 70% Cocoa SeaSalt_Bar,Default,0,0%,SeaSalt,0.7,0.7,425,425 cal,3.5 oz,Existing,,,,,,,,FinishedGoods,,All Items,,A140,ChocoDream 70% Cocoa,D30,Snacks,Bar,AY,Dummy,,All Items
A141_10_01,ChocoDream 85% Cocoa Almond_Bar_3.5oz,TRUE,10/28/2029 0:00,5/1/2022 0:00,,A141_10_01,ChocoDream 85% Cocoa Almond_Bar_3.5oz,D30,Snacks,Bar 3.5 oz,3.5 oz,,A141,ChocoDream 85% Cocoa,B800,ChocoDream,C50,Chocolate,D30,Snacks,E20,Food,F10,FnB,A141_10,en-US,10/28/2029 0:00,5/1/2022 0:00,ChocoDream 85% Cocoa Almond_Bar,A141_10,ChocoDream 85% Cocoa Almond_Bar,Default,0,0%,Almond,0.85,85%,380,380 cal,3.5 oz,Existing,,,,,,,,FinishedGoods,,All Items,,A141,ChocoDream 85% Cocoa,D30,Snacks,Bar,AY,Dummy,,All Items
A141_11_01,ChocoDream 85% Cocoa Caramel_Bar_3.5oz,,10/24/2029 0:00,7/1/2019 0:00,,A141_11_01,ChocoDream 85% Cocoa Caramel_Bar_3.5oz,D30,Snacks,Bar 3.5 oz,3.5 oz,,A141,ChocoDream 85% Cocoa,B800,ChocoDream,C50,Chocolate,D30,Snacks,E20,Food,F10,FnB,A141_11,en-US,10/24/2029 0:00,7/1/2019 0:00,ChocoDream 85% Cocoa Caramel_Bar,A141_11,ChocoDream 85% Cocoa Caramel_Bar,Default,0,0%,Caramel,0.85,85%,395,395 cal,3.5 oz,Existing,,,,,,,,FinishedGoods,,All Items,,A141,ChocoDream 85% Cocoa,D30,Snacks,Bar,AY,Dummy,,All Items
A141_12_01,ChocoDream 85% Cocoa SeaSalt_Bar_3.5oz,,10/24/2029 0:00,7/1/2019 0:00,,A141_12_01,ChocoDream 85% Cocoa SeaSalt_Bar_3.5oz,D30,Snacks,Bar 3.5 oz,3.5 oz,,A141,ChocoDream 85% Cocoa,B800,ChocoDream,C50,Chocolate,D30,Snacks,E20,Food,F10,FnB,A141_12,en-US,10/24/2029 0:00,7/1/2019 0:00,ChocoDream 85% Cocoa SeaSalt_Bar,A141_12,ChocoDream 85% Cocoa SeaSalt_Bar,Default,0,0%,SeaSalt,0.85,85%,382,382 cal,3.5 oz,Existing,,,,,,,,FinishedGoods,,All Items,,A141,ChocoDream 85% Cocoa,D30,Snacks,Bar,AY,Dummy,,All Items
A142_10_01,ChocoDream 30% Cocoa Almond_Bar_3.5oz,TRUE,10/24/2029 0:00,7/1/2019 0:00,,A142_10_01,ChocoDream 30% Cocoa Almond_Bar_3.5oz,D30,Snacks,Bar 3.5 oz,3.5 oz,,A142,ChocoDream 30% Cocoa,B800,ChocoDream,C50,Chocolate,D30,Snacks,E20,Food,F10,FnB,A142_10,en-US,10/24/2029 0:00,7/1/2019 0:00,ChocoDream 30% Cocoa Almond_Bar,A142_10,ChocoDream 30% Cocoa Almond_Bar,Default,0,0%,Almond,0.3,30%,500,500 cal,3.5 oz,Existing,,,,,,,,FinishedGoods,,All Items,,A142,ChocoDream 30% Cocoa,D30,Snacks,Bar,AY,Dummy,,All Items
A142_11_01,ChocoDream 30% Cocoa Caramel_Bar_3.5oz,,10/24/2029 0:00,7/1/2019 0:00,,A142_11_01,ChocoDream 30% Cocoa Caramel_Bar_3.5oz,D30,Snacks,Bar 3.5 oz,3.5 oz,,A142,ChocoDream 30% Cocoa,B800,ChocoDream,C50,Chocolate,D30,Snacks,E20,Food,F10,FnB,A142_11,en-US,10/24/2029 0:00,7/1/2019 0:00,ChocoDream 30% Cocoa Caramel_HolidayPack,A142_11,ChocoDream 30% Cocoa Caramel_HolidayPack,Default,0,0%,Caramel,0.3,30%,536,536 cal,3.5 oz,New,,,,,,,,FinishedGoods,,All Items,,A142,ChocoDream 30% Cocoa,D30,Snacks,Bar,AY,Dummy,,All Items
A142_12_01,ChocoDream 30% Cocoa SeaSalt_Bar_3.5oz,,10/24/2029 0:00,7/1/2019 0:00,,A142_12_01,ChocoDream 30% Cocoa SeaSalt_Bar_3.5oz,D30,Snacks,Bar 3.5 oz,3.5 oz,,A142,ChocoDream 30% Cocoa,B800,ChocoDream,C50,Chocolate,D30,Snacks,E20,Food,F10,FnB,A142_12,en-US,10/24/2029 0:00,7/1/2019 0:00,ChocoDream 30% Cocoa SeaSalt_Bar,A142_12,ChocoDream 30% Cocoa SeaSalt_Bar,Default,0,0%,SeaSalt,0.3,30%,518,518 cal,3.5 oz,Existing,,,,,,,,FinishedGoods,,All Items,,A142,ChocoDream 30% Cocoa,D30,Snacks,Bar,AY,Dummy,,All Items
A130_10_02,CocoaDelight Milk Almond_HolidayPack_6.5 oz,,10/24/2029 0:00,7/1/2019 0:00,,A130_10_02,CocoaDelight Milk Almond_HolidayPack_6.5 oz,D30,Snacks,HolidayPack 6.5 oz,6.5 oz,,A130,CocoaDelight Milk Chocolate,B700,CocoaDelight,C50,Chocolate,D30,Snacks,E20,Food,F10,FnB,A130_10,en-US,10/24/2029 0:00,7/1/2019 0:00,CocoaDelight Milk Almond_Case,A130_10,CocoaDelight Milk Almond_Case,Default,0,0%,Almond,0.35,35%,910,910 cal,6.5 oz,Existing,,,,,,,,FinishedGoods,,All Items,,A130,CocoaDelight Milk Chocolate,D30,Snacks,Case,AY,Dummy,,All Items
